"ID";"Určovatel";"Pouzdro";"Množství";"Určení";"Tisk rohového razítka";
1;"Alert_tem,J7";"PinHeader_2x04_P2.54mm_Vertical";2;"02x04_Male";;;
2;"-32V";"PinSocket_2x04_P2.54mm_Vertical";1;"02x04_Female";;;
3;"+3.3V,IN +3.3V,+3.3V,-5V,+5V";"PinSocket_2x03_P2.54mm_Vertical";5;"02x03_Female";;;
4;"C1,C6,C7,C15,C17,C20,C22";"C_0805_2012Metric";7;"10uF";;;
5;"C2,C11,C13";"C_0805_2012Metric";3;"1uF";;;
6;"C3";"C_0805_2012Metric";1;"0.01uF";;;
7;"C4";"C_0805_2012Metric";1;"100nF";;;
8;"C5,C8,C14,C16,C18,C19,C21";"C_0805_2012Metric";7;"0.1uF";;;
9;"C9";"C_0805_2012Metric";1;"3pF";;;
10;"C10";"C_0805_2012Metric";1;"10uF/50V";;;
11;"C12";"C_0805_2012Metric";1;"1uF/50V";;;
12;"J8";"BNC_TEConnectivity_1478204_Vertical";1;"Conn_Coaxial";;;
13;"JP,Volt_meter";"PinHeader_1x03_P2.54mm_Vertical";2;"01x03_Male";;;
14;"JP1,JP2";"SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm";2;"Jumper_3_Open";;;
15;"JP3";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper";;;
16;"MH1,MH2,MH3,MH4";"MountingHole_3mm_Pad";4;"MountingHole_Pad";;;
17;"SCL,SDA,WP";"R_0805_2012Metric";3;"10k";;;
18;"R4";"R_0805_2012Metric";1;"10R";;;
19;"R5,R21,R24";"R_0805_2012Metric";3;"1k";;;
20;"R6";"R_0805_2012Metric";1;"100R";;;
21;"R7";"R_0805_2012Metric";1;"464R";;;
22;"R8";"R_0805_2012Metric";1;"30.1k";;;
23;"R9";"R_0805_2012Metric";1;"2.67k";;;
24;"R10";"R_0805_2012Metric";1;"121R";;;
25;"R11,R29,R30";"R_0805_2012Metric";3;"4.02k";;;
26;"R12";"R_0805_2012Metric";1;"26.1k";;;
27;"R13,R14,R31,R32,Low,High,R35";"R_0805_2012Metric";7;"49.9R";;;
28;"R15";"R_0805_2012Metric";1;"24.9R";;;
29;"R16";"R_0805_2012Metric";1;"84.5R";;;
30;"R17";"R_0805_2012Metric";1;"16.5R";;;
31;"R18";"R_0805_2012Metric";1;"31.6R";;;
32;"R19,R20";"R_0805_2012Metric";2;"255R";;;
33;"R22,R23";"R_0805_2012Metric";2;"68.1R";;;
34;"R25,R26";"R_0805_2012Metric";2;"274R";;;
35;"R27,R28";"R_0805_2012Metric";2;"499R";;;
36;"U2";"SOT-23-5";1;"OPA656";;;
37;"U3";"MSOP-8_3x3mm_P0.65mm";1;"CAT5140ZI-00-GT3";;;
38;"U4";"SOIC-8_W5.3mm";1;"TMP1075";;;
39;"U5";"SOT-223-4";1;"LM337_SOT223";;;
40;"U6";"SOT-23-5";1;"MCP3021";;;
41;"U7,U8";"TI_SO-PowerPAD-8";2;"LMH6553";;;
42;"Ohm_meter";"PinHeader_1x02_P2.54mm_Vertical";1;"01x02_Male";;;
43;"SiPM_IN,SiPM_OUT";"PinSocket_1x03_P2.54mm_Vertical";2;"01x03_Female";;;
